,Params,ROC AUC
120,"{'convergence_mode': 'fast', 'iter': 4000, 'n_factors': 20, 'tolerance': None}",0.9614266547406082
121,"{'convergence_mode': 'fast', 'iter': 4000, 'n_factors': 20, 'tolerance': 0.01}",0.9614266547406082
122,"{'convergence_mode': 'fast', 'iter': 4000, 'n_factors': 20, 'tolerance': 0.001}",0.9614266547406082
123,"{'convergence_mode': 'fast', 'iter': 4000, 'n_factors': 30, 'tolerance': None}",0.9542710196779964
124,"{'convergence_mode': 'fast', 'iter': 4000, 'n_factors': 30, 'tolerance': 0.01}",0.9542710196779964
125,"{'convergence_mode': 'fast', 'iter': 4000, 'n_factors': 30, 'tolerance': 0.001}",0.9542710196779964
126,"{'convergence_mode': 'fast', 'iter': 5000, 'n_factors': 10, 'tolerance': None}",0.9661225402504472
127,"{'convergence_mode': 'fast', 'iter': 5000, 'n_factors': 10, 'tolerance': 0.01}",0.9661225402504472
128,"{'convergence_mode': 'fast', 'iter': 5000, 'n_factors': 10, 'tolerance': 0.001}",0.9661225402504472
129,"{'convergence_mode': 'fast', 'iter': 5000, 'n_factors': 20, 'tolerance': None}",0.9614266547406082
130,"{'convergence_mode': 'fast', 'iter': 5000, 'n_factors': 20, 'tolerance': 0.01}",0.9614266547406082
131,"{'convergence_mode': 'fast', 'iter': 5000, 'n_factors': 20, 'tolerance': 0.001}",0.9614266547406082
132,"{'convergence_mode': 'fast', 'iter': 5000, 'n_factors': 30, 'tolerance': None}",0.9542710196779964
133,"{'convergence_mode': 'fast', 'iter': 5000, 'n_factors': 30, 'tolerance': 0.01}",0.9542710196779964
134,"{'convergence_mode': 'fast', 'iter': 5000, 'n_factors': 30, 'tolerance': 0.001}",0.9542710196779964
